上海世博会,世博,落幕,中国,人类,世博会,世博园,低碳,沟通,城市
亚运,亚运会,上海世博会,世博,广州,中国,落幕,城市,亚洲,发展
发展,农村,农业,工作,残疾人,残运会,经济,精神,防汛,十二五
中国特色社会主义,水利,发展,法律,建设,立法,体系,一号文件,我国,经济社会
中国特色社会主义,发展,工作,十二五规划,法律,人民政协,十二五,立法,热烈祝贺,体系
劳动,发展,科技,青年,创新,工人阶级,青春,创造,中国,90
水利,发展,人民,西藏,建设,60,水资源,改革,中国特色社会主义,社会主义
人民,中华民族,中华民族伟大复兴,中国,抗日战争,民族,中国共产党,历史,复兴,伟大
文化,中国特色社会主义,中华民族伟大复兴,发展,建设,社会主义,辛亥革命,繁荣,推动,百年
文化,文艺工作者,神舟八号,对接,交会,天宫一号,广大,发展,任务,圆满成功
发展,扶贫开发,经济,农业,环境保护,工作,农村,我国,经济社会,稳定
金融,发展,经济,工作,我国,国际金融,把握,改革,金融业,经济社会
农业,科技,农村,发展,农产品,供给,创新,稳定,保障,三农
人民政协,发展,工作,社会,建设,民政,人民,中国特色社会主义,会议,发挥
青年,共青团,广大青年,中国特色社会主义,劳动,90,共青团员,发展,群众,工人阶级
上海合作组织,成员国,发展,峰会,合作,地区,共同,北京,元首,携手
奥运会,中国特色社会主义,奥运,奥林匹克精神,伦敦,奥林匹克,奥林匹克运动,体育健儿,见证,赛场
中国特色社会主义,发展,社会主义,十年,社会主义现代化,十八大,中国,道路,社会,构建
中国特色社会主义,十八大,小康社会,科学发展观,社会主义现代化,党和国家,人民,发展,各族人民,中华民族伟大复兴
